,colors,first,hex,name,code,textcolor
1,"Hawks Red Hex Color: #E03A3E; RGB: (224,58,62)",22,#E03A3E,Atlanta Hawks,ATL,black
2,"Celtics Green Hex Color: #008348; RGB: (0,131,72)",26,#008348,Boston Celtics,BOS,white
3,"White Hex Color: #FFFFFF; RGB: (255,255,255)",18,#FFFFFF,Brooklyn Nets,BRO,black
4,"Hornets Purple Hex Color: #1D1160; RGB: (29,17,96)",27,#1D1160,Charlotte Hornets,CHR,white
5,"Bulls Red Hex Color: #CE1141; RGB: (206,17,65)",22,#CE1141,Chicago Bulls,CHI,black
6,"Cavaliers Wine Hex Color: #860038; RGB: (134,0,56)",27,#860038,Cleveland Cavaliers,CLE,white
7,"Mavericks Blue Hex Color: #007DC5; RGB: (0,125,197)",27,#007DC5,Dallas Mavericks,DAL,white
8,"Nuggets Light Blue Hex Color: #4FA8FF; RGB: (79,168,255)",31,#4FA8FF,Denver Nuggets,DEN,black
9,"Pistons Blue Hex Color: #006BB6; RGB: (0,107,182)",25,#006BB6,Detroit Pistons,DET,white
10,"Warriors Royal Blue Hex Color: #006BB6; RGB: (0,107,182)",32,#006BB6,Golden State Warriors,GS,white
11,"Rockets Red Hex Color: #CE1141; RGB: (206,17,65)",24,#CE1141,Houston Rockets,HOU,white
12,"Pacers Blue Hex Color: #00275D; RGB: (0,39,93)",24,#00275D,Indiana Pacers,IND,white
13,"Clippers Red Hex Color: #ED174C; RGB: (237,23,76)",25,#ED174C,Los Angeles Clippers,LAC,black
14,"Lakers Purple Hex Color: #552582; RGB: (85,37,130)",26,#552582,Los Angeles Lakers,LAL,white
15,"Memphis Midnight Blue Hex Color: #23375B; RGB: (35,55,91)",34,#23375B,Memphis Grizzlies,MEM,white
16,"Heat Red Hex Color: #98002E; RGB: (152,0,46)",21,#98002E,Miami Heat,MIA,white
17,"Dark Green Hex Color: #00471B; RGB: (0,71,27)",23,#00471B,Milwaukee Bucks,MIL,white
18,"Midnight Blue Hex Color: #002B5C; RGB: (0,42,92)",26,#002B5C,Minnesota Timberwolves,MIN,white
19,"Pelicans Blue Hex Color: #002B5C; RGB: (0,43,92)",26,#002B5C,New Orleans Pelicans,NOR,white
20,"Knicks Blue Hex Color: #006BB6; RGB: (0,107,182)",24,#006BB6,New York Knicks,NY,white
21,"Thunder Blue Hex Color: #007DC3; RGB: (0,125,195)",25,#007DC3,Oklahoma City Thunder,OKC,black
22,"Magic Blue Hex Color: #007DC5; RGB: (0,125,197)",23,#007DC5,Orlando Magic,ORL,black
23,"76ers Blue Hex Color: #006BB6; RGB: (0,102,182)",23,#006BB6,Philadelphia 76ers,PHI,white
24,"Suns Orange Hex Color: #E56020; RGB: (229,96,32)",24,#E56020,Phoenix Suns,PHO,black
25,"Blazers Red Hex Color: #F0163A; RGB: (240,22,58)",24,#F0163A,Portland Trail Blazers,POR,black
26,"Kings Purple Hex Color: #724C9F; RGB: (114,76,159)",25,#724C9F,Sacramento Kings,SAC,black
27,"Spurs Silver Hex Color: #B6BFBF; RGB: (182,191,191)",25,#B6BFBF,San Antonio Spurs,SAN,black
28,"Raptors Red Hex Color: #CE1141; RGB: (206,17,65)",24,#CE1141,Toronto Raptors,TOR,black
29,"Jazz Navy Hex Color: #002B5C; RGB: (0,43,92)",22,#002B5C,Utah Jazz,UTA,white
30," Navy Hex Color: #002566; RGB: (0,37,102)",18,#002566,Washington Wizards,WAS,white
